 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 07, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/86Nb-Cu.dat

 Ion = Niobium      [41] , Mass = 86 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Niobium      [41] , Mass = 86 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.106E-01  2.775E+00      41 A        23 A        17 A   
  11.00 keV   1.160E-01  2.857E+00      43 A        24 A        17 A   
  12.00 keV   1.211E-01  2.932E+00      46 A        25 A        18 A   
  13.00 keV   1.261E-01  3.001E+00      48 A        26 A        19 A   
  14.00 keV   1.308E-01  3.064E+00      50 A        27 A        20 A   
  15.00 keV   1.354E-01  3.123E+00      53 A        28 A        21 A   
  16.00 keV   1.399E-01  3.177E+00      55 A        29 A        21 A   
  17.00 keV   1.442E-01  3.228E+00      57 A        30 A        22 A   
  18.00 keV   1.484E-01  3.275E+00      59 A        31 A        23 A   
  20.00 keV   1.564E-01  3.362E+00      64 A        33 A        24 A   
  22.50 keV   1.659E-01  3.456E+00      69 A        36 A        26 A   
  25.00 keV   1.748E-01  3.539E+00      74 A        38 A        28 A   
  27.50 keV   1.834E-01  3.611E+00      79 A        40 A        29 A   
  30.00 keV   1.915E-01  3.675E+00      84 A        43 A        31 A   
  32.50 keV   1.994E-01  3.733E+00      89 A        45 A        33 A   
  35.00 keV   2.069E-01  3.784E+00      94 A        47 A        34 A   
  37.50 keV   2.141E-01  3.830E+00      99 A        49 A        36 A   
  40.00 keV   2.212E-01  3.872E+00     104 A        51 A        37 A   
