 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = srim_files/86Sr-Cu.dat

 Ion = Strontium    [38] , Mass = 86 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 86 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.012E-01  2.664E+00      42 A        23 A        17 A   
  11.00 keV   1.062E-01  2.741E+00      45 A        25 A        18 A   
  12.00 keV   1.109E-01  2.810E+00      47 A        26 A        19 A   
  13.00 keV   1.154E-01  2.874E+00      50 A        27 A        20 A   
  14.00 keV   1.198E-01  2.933E+00      52 A        28 A        21 A   
  15.00 keV   1.240E-01  2.987E+00      55 A        29 A        21 A   
  16.00 keV   1.280E-01  3.038E+00      57 A        30 A        22 A   
  17.00 keV   1.320E-01  3.085E+00      59 A        31 A        23 A   
  18.00 keV   1.358E-01  3.129E+00      62 A        33 A        24 A   
  20.00 keV   1.431E-01  3.208E+00      66 A        35 A        25 A   
  22.50 keV   1.518E-01  3.295E+00      72 A        37 A        27 A   
  25.00 keV   1.600E-01  3.370E+00      77 A        39 A        29 A   
  27.50 keV   1.679E-01  3.436E+00      83 A        42 A        31 A   
  30.00 keV   1.753E-01  3.494E+00      88 A        44 A        32 A   
  32.50 keV   1.825E-01  3.546E+00      93 A        46 A        34 A   
  35.00 keV   1.894E-01  3.592E+00      98 A        49 A        36 A   
  37.50 keV   1.960E-01  3.634E+00     104 A        51 A        37 A   
  40.00 keV   2.024E-01  3.671E+00     109 A        53 A        39 A   
  45.00 keV   2.147E-01  3.735E+00     119 A        57 A        42 A   
