 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 31, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/86Y-Cu.dat

 Ion = Yttrium      [39] , Mass = 86 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Yttrium      [39] , Mass = 86 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.076E-01  2.702E+00      42 A        23 A        17 A   
  11.00 keV   1.129E-01  2.780E+00      44 A        24 A        18 A   
  12.00 keV   1.179E-01  2.852E+00      47 A        26 A        19 A   
  13.00 keV   1.227E-01  2.917E+00      49 A        27 A        19 A   
  14.00 keV   1.274E-01  2.977E+00      52 A        28 A        20 A   
  15.00 keV   1.318E-01  3.033E+00      54 A        29 A        21 A   
  16.00 keV   1.362E-01  3.085E+00      56 A        30 A        22 A   
  17.00 keV   1.403E-01  3.133E+00      59 A        31 A        23 A   
  18.00 keV   1.444E-01  3.178E+00      61 A        32 A        23 A   
  20.00 keV   1.522E-01  3.260E+00      65 A        34 A        25 A   
  22.50 keV   1.615E-01  3.350E+00      71 A        37 A        27 A   
  25.00 keV   1.702E-01  3.427E+00      76 A        39 A        28 A   
  27.50 keV   1.785E-01  3.495E+00      81 A        41 A        30 A   
  30.00 keV   1.864E-01  3.556E+00      87 A        44 A        32 A   
  32.50 keV   1.940E-01  3.609E+00      92 A        46 A        33 A   
  35.00 keV   2.014E-01  3.657E+00      97 A        48 A        35 A   
  37.50 keV   2.084E-01  3.700E+00     102 A        50 A        37 A   
  40.00 keV   2.153E-01  3.739E+00     107 A        52 A        38 A   
