 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = srim_files/87Zr-Cu.dat

 Ion = Zirconium    [40] , Mass = 87 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zirconium    [40] , Mass = 87 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.908E-02  2.747E+00      41 A        23 A        17 A   
  11.00 keV   1.039E-01  2.827E+00      44 A        24 A        18 A   
  12.00 keV   1.085E-01  2.901E+00      46 A        25 A        18 A   
  13.00 keV   1.130E-01  2.968E+00      49 A        27 A        19 A   
  14.00 keV   1.172E-01  3.030E+00      51 A        28 A        20 A   
  15.00 keV   1.213E-01  3.088E+00      54 A        29 A        21 A   
  16.00 keV   1.253E-01  3.141E+00      56 A        30 A        22 A   
  17.00 keV   1.292E-01  3.191E+00      58 A        31 A        22 A   
  18.00 keV   1.329E-01  3.238E+00      60 A        32 A        23 A   
  20.00 keV   1.401E-01  3.322E+00      65 A        34 A        25 A   
  22.50 keV   1.486E-01  3.415E+00      70 A        36 A        26 A   
  25.00 keV   1.567E-01  3.495E+00      75 A        39 A        28 A   
  27.50 keV   1.643E-01  3.566E+00      81 A        41 A        30 A   
  30.00 keV   1.716E-01  3.629E+00      86 A        43 A        31 A   
  32.50 keV   1.786E-01  3.685E+00      91 A        45 A        33 A   
  35.00 keV   1.854E-01  3.735E+00      96 A        47 A        35 A   
  37.50 keV   1.919E-01  3.780E+00     101 A        50 A        36 A   
  40.00 keV   1.982E-01  3.821E+00     106 A        52 A        38 A   
  45.00 keV   2.102E-01  3.891E+00     115 A        56 A        41 A   
