 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> November 06, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/89Zr-Cu.dat

 Ion = Zirconium    [40] , Mass = 89 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zirconium    [40] , Mass = 89 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.796E-02  2.762E+00      42 A        23 A        17 A   
  11.00 keV   1.027E-01  2.843E+00      44 A        24 A        18 A   
  12.00 keV   1.073E-01  2.917E+00      47 A        25 A        18 A   
  13.00 keV   1.117E-01  2.985E+00      49 A        26 A        19 A   
  14.00 keV   1.159E-01  3.048E+00      51 A        27 A        20 A   
  15.00 keV   1.200E-01  3.106E+00      54 A        29 A        21 A   
  16.00 keV   1.239E-01  3.160E+00      56 A        30 A        22 A   
  17.00 keV   1.277E-01  3.211E+00      58 A        31 A        22 A   
  18.00 keV   1.314E-01  3.258E+00      61 A        32 A        23 A   
  20.00 keV   1.385E-01  3.343E+00      65 A        34 A        25 A   
  22.50 keV   1.469E-01  3.437E+00      70 A        36 A        26 A   
  25.00 keV   1.549E-01  3.519E+00      76 A        38 A        28 A   
  27.50 keV   1.624E-01  3.591E+00      81 A        41 A        30 A   
  30.00 keV   1.697E-01  3.654E+00      86 A        43 A        31 A   
  32.50 keV   1.766E-01  3.711E+00      91 A        45 A        33 A   
  35.00 keV   1.833E-01  3.762E+00      96 A        47 A        34 A   
  37.50 keV   1.897E-01  3.808E+00     101 A        49 A        36 A   
  40.00 keV   1.959E-01  3.849E+00     106 A        51 A        37 A   
