 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 08, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/99In-Fe.dat

 Ion = Indium       [49] , Mass = 99 amu

 Density =  7.8658E+00 g/cm3 = 8.4817E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 99 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.300E-01  3.446E+00      42 A        21 A        15 A   
  11.00 keV   1.363E-01  3.555E+00      44 A        22 A        16 A   
  12.00 keV   1.424E-01  3.655E+00      47 A        23 A        17 A   
  13.00 keV   1.482E-01  3.748E+00      49 A        24 A        18 A   
  14.00 keV   1.538E-01  3.833E+00      51 A        25 A        18 A   
  15.00 keV   1.592E-01  3.913E+00      54 A        26 A        19 A   
  16.00 keV   1.644E-01  3.987E+00      56 A        27 A        20 A   
  17.00 keV   1.695E-01  4.057E+00      58 A        28 A        20 A   
  18.00 keV   1.744E-01  4.122E+00      60 A        29 A        21 A   
  20.00 keV   1.838E-01  4.242E+00      64 A        30 A        22 A   
  22.50 keV   1.950E-01  4.374E+00      69 A        32 A        24 A   
  25.00 keV   2.055E-01  4.491E+00      74 A        34 A        25 A   
  27.50 keV   2.156E-01  4.594E+00      79 A        36 A        27 A   
  30.00 keV   2.251E-01  4.687E+00      84 A        38 A        28 A   
  32.50 keV   2.343E-01  4.770E+00      88 A        40 A        30 A   
  35.00 keV   2.432E-01  4.845E+00      93 A        42 A        31 A   
  37.50 keV   2.517E-01  4.914E+00      98 A        43 A        32 A   
  40.00 keV   2.600E-01  4.977E+00     102 A        45 A        34 A   
