 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 08, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/99In-mylar.dat

 Ion = Indium       [49] , Mass = 99 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 99 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.658E-01  6.921E+00     154 A        35 A        27 A   
  11.00 keV   4.885E-01  7.119E+00     163 A        37 A        29 A   
  12.00 keV   5.102E-01  7.299E+00     171 A        38 A        30 A   
  13.00 keV   5.310E-01  7.464E+00     179 A        40 A        31 A   
  14.00 keV   5.511E-01  7.615E+00     187 A        41 A        32 A   
  15.00 keV   5.704E-01  7.755E+00     195 A        43 A        34 A   
  16.00 keV   5.891E-01  7.885E+00     203 A        44 A        35 A   
  17.00 keV   6.073E-01  8.006E+00     211 A        45 A        36 A   
  18.00 keV   6.249E-01  8.119E+00     218 A        47 A        37 A   
  20.00 keV   6.587E-01  8.324E+00     233 A        49 A        40 A   
  22.50 keV   6.986E-01  8.547E+00     251 A        53 A        42 A   
  25.00 keV   7.364E-01  8.741E+00     269 A        56 A        45 A   
  27.50 keV   7.724E-01  8.910E+00     286 A        58 A        48 A   
  30.00 keV   8.067E-01  9.059E+00     303 A        61 A        50 A   
  32.50 keV   8.397E-01  9.192E+00     319 A        64 A        53 A   
  35.00 keV   8.714E-01  9.310E+00     336 A        67 A        55 A   
  37.50 keV   9.019E-01  9.416E+00     352 A        69 A        58 A   
  40.00 keV   9.315E-01  9.511E+00     368 A        72 A        60 A   
